2017-08-18 02:43:52,360:	Start training epoch 1.
2017-08-18 02:44:42,413:	Loss at step 53: 5.782390
2017-08-18 02:44:43,332:	Loss at step 54: 5.272449
2017-08-18 02:44:44,290:	Loss at step 55: 5.910972
2017-08-18 02:44:45,254:	Loss at step 56: 5.217075
2017-08-18 02:44:46,171:	Loss at step 57: 5.242976
2017-08-18 02:44:47,057:	Loss at step 58: 5.262713
2017-08-18 02:44:48,005:	Loss at step 59: 4.916098
2017-08-18 02:44:48,955:	Loss at step 60: 5.522743
2017-08-18 02:44:49,864:	Loss at step 61: 5.966367
2017-08-18 02:44:50,809:	Loss at step 62: 5.483457
2017-08-18 02:44:51,752:	Loss at step 63: 5.197096
2017-08-18 02:44:52,625:	Loss at step 64: 5.225526
2017-08-18 02:44:53,585:	Loss at step 65: 5.325423
2017-08-18 02:44:54,536:	Loss at step 66: 5.431975
2017-08-18 02:44:55,418:	Loss at step 67: 5.702852
2017-08-18 02:44:56,350:	Loss at step 68: 5.312925
2017-08-18 02:44:57,348:	Loss at step 69: 5.294695
2017-08-18 02:44:58,290:	Loss at step 70: 5.374891
2017-08-18 02:44:59,315:	Loss at step 71: 5.258430
2017-08-18 02:45:00,281:	Loss at step 72: 5.364002
2017-08-18 02:45:01,231:	Loss at step 73: 5.774016
2017-08-18 02:45:02,164:	Loss at step 74: 5.528950
2017-08-18 02:45:03,083:	Loss at step 75: 5.116406
2017-08-18 02:45:04,012:	Loss at step 76: 5.560866
2017-08-18 02:45:05,006:	Loss at step 77: 5.544214
2017-08-18 02:45:05,872:	Loss at step 78: 5.427514
2017-08-18 02:45:06,888:	Loss at step 79: 5.482705
2017-08-18 02:45:07,863:	Loss at step 80: 5.328420
2017-08-18 02:45:08,750:	Loss at step 81: 4.884884
2017-08-18 02:45:09,685:	Loss at step 82: 5.130410
2017-08-18 02:45:10,666:	Loss at step 83: 5.644113
2017-08-18 02:45:11,580:	Loss at step 84: 5.348990
2017-08-18 02:45:12,522:	Loss at step 85: 5.690945
2017-08-18 02:45:13,381:	Loss at step 86: 5.227954
2017-08-18 02:45:14,344:	Loss at step 87: 5.445139
2017-08-18 02:45:15,257:	Loss at step 88: 5.063702
2017-08-18 02:45:16,204:	Loss at step 89: 5.194330
2017-08-18 02:45:17,130:	Loss at step 90: 5.455607
2017-08-18 02:45:18,087:	Loss at step 91: 5.593091
2017-08-18 02:45:19,075:	Loss at step 92: 5.714779
2017-08-18 02:45:20,010:	Loss at step 93: 5.391867
2017-08-18 02:45:20,976:	Loss at step 94: 5.286001
2017-08-18 02:45:21,970:	Loss at step 95: 5.340201
2017-08-18 02:45:22,879:	Loss at step 96: 5.005416
2017-08-18 02:45:23,769:	Loss at step 97: 5.243376
2017-08-18 02:45:24,696:	Loss at step 98: 5.281373
2017-08-18 02:45:25,705:	Loss at step 99: 5.187055
2017-08-18 02:45:26,699:	Loss at step 100: 5.297252
2017-08-18 02:45:27,656:	Loss at step 101: 5.403292
2017-08-18 02:45:28,521:	Loss at step 102: 5.402124
2017-08-18 02:45:29,479:	Loss at step 103: 5.473278
2017-08-18 02:45:30,351:	Loss at step 104: 5.151234
2017-08-18 02:45:31,232:	Loss at step 105: 5.010830
2017-08-18 02:45:32,166:	Loss at step 106: 5.626132
2017-08-18 02:45:33,132:	Loss at step 107: 5.404213
2017-08-18 02:45:34,056:	Loss at step 108: 5.328864
2017-08-18 02:45:35,030:	Loss at step 109: 5.148588
2017-08-18 02:45:35,957:	Loss at step 110: 5.421844
2017-08-18 02:45:36,998:	Loss at step 111: 5.613525
2017-08-18 02:45:37,946:	Loss at step 112: 5.201149
2017-08-18 02:45:38,961:	Loss at step 113: 5.031332
2017-08-18 02:45:39,903:	Loss at step 114: 5.377911
2017-08-18 02:45:40,851:	Loss at step 115: 4.962651
2017-08-18 02:45:41,841:	Loss at step 116: 5.246861
2017-08-18 02:45:42,828:	Loss at step 117: 5.018595
2017-08-18 02:45:43,717:	Loss at step 118: 5.315952
2017-08-18 02:45:44,632:	Loss at step 119: 5.206079
2017-08-18 02:45:45,568:	Loss at step 120: 5.332292
2017-08-18 02:45:46,503:	Loss at step 121: 5.201651
2017-08-18 02:45:47,487:	Loss at step 122: 5.496279
2017-08-18 02:45:48,394:	Loss at step 123: 5.036129
2017-08-18 02:45:49,304:	Loss at step 124: 5.500179
2017-08-18 02:45:50,310:	Loss at step 125: 5.415838
2017-08-18 02:45:51,322:	Loss at step 126: 5.367425
2017-08-18 02:45:52,294:	Loss at step 127: 5.021963
2017-08-18 02:45:53,286:	Loss at step 128: 4.666756
2017-08-18 02:45:54,276:	Loss at step 129: 4.982474
2017-08-18 02:45:55,217:	Loss at step 130: 5.329332
2017-08-18 02:45:56,178:	Loss at step 131: 5.563846
2017-08-18 02:45:57,046:	Loss at step 132: 5.193575
2017-08-18 02:45:57,956:	Loss at step 133: 5.366432
2017-08-18 02:45:58,926:	Loss at step 134: 5.360671
2017-08-18 02:45:59,857:	Loss at step 135: 5.323981
2017-08-18 02:46:00,744:	Loss at step 136: 5.033647
2017-08-18 02:46:01,588:	Loss at step 137: 4.854289
2017-08-18 02:46:02,556:	Loss at step 138: 5.639242
2017-08-18 02:46:03,490:	Loss at step 139: 5.863294
2017-08-18 02:46:04,416:	Loss at step 140: 5.447248
2017-08-18 02:46:05,391:	Loss at step 141: 5.476941
2017-08-18 02:46:06,394:	Loss at step 142: 5.230764
2017-08-18 02:46:07,339:	Loss at step 143: 5.378773
2017-08-18 02:46:08,225:	Loss at step 144: 5.398342
2017-08-18 02:46:09,168:	Loss at step 145: 5.253510
2017-08-18 02:46:10,131:	Loss at step 146: 5.162595
2017-08-18 02:46:10,979:	Loss at step 147: 5.317260
2017-08-18 02:46:11,944:	Loss at step 148: 5.697181
2017-08-18 02:46:12,909:	Loss at step 149: 5.385606
2017-08-18 02:46:13,831:	Loss at step 150: 5.114982
2017-08-18 02:46:14,813:	Loss at step 151: 5.207231
2017-08-18 02:46:15,722:	Loss at step 152: 5.398189
2017-08-18 02:46:16,679:	Loss at step 153: 5.390155
2017-08-18 02:46:17,577:	Loss at step 154: 5.031291
2017-08-18 02:46:18,437:	Loss at step 155: 5.191269
2017-08-18 02:46:19,371:	Loss at step 156: 5.522490
2017-08-18 02:46:20,278:	Loss at step 157: 5.585363
2017-08-18 02:46:21,252:	Loss at step 158: 5.315589
2017-08-18 02:46:22,148:	Loss at step 159: 4.938010
2017-08-18 02:46:23,042:	Loss at step 160: 4.764930
2017-08-18 02:46:23,996:	Loss at step 161: 5.222576
2017-08-18 02:46:24,857:	Loss at step 162: 5.568333
2017-08-18 02:46:25,852:	Loss at step 163: 5.449174
2017-08-18 02:46:26,766:	Loss at step 164: 5.027782
2017-08-18 02:46:27,696:	Loss at step 165: 4.984197
2017-08-18 02:46:28,664:	Loss at step 166: 5.105416
2017-08-18 02:46:29,601:	Loss at step 167: 5.778697
2017-08-18 02:46:30,506:	Loss at step 168: 5.372842
2017-08-18 02:46:31,428:	Loss at step 169: 5.715946
2017-08-18 02:46:32,368:	Loss at step 170: 5.007246
2017-08-18 02:46:33,443:	Loss at step 171: 5.489428
2017-08-18 02:46:34,421:	Loss at step 172: 4.736162
2017-08-18 02:46:35,379:	Loss at step 173: 5.596856
2017-08-18 02:46:36,389:	Loss at step 174: 5.090157
2017-08-18 02:46:37,294:	Loss at step 175: 4.621120
